,skblid,description,detail,occupationtype,from,place
1080,GretaLinder,Lärare,"Lärare, Skolöverstyrelsens biblioteksskola, fr o m 1938 även ledare, Sveriges Allmänna Biblioteksförenings  korrespondensundervisning för folkbibliotekarier, 1953−1954 även lärare, Folkbibliotekens korrespondensinstitut, Uppsala",Yrke,"{'comment': '1926', 'date': '1926'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1081,BettyLinderoth,Urmakare,"Urmakare, fr o m 1871 verkstadsmästare, Linderoths urfabrik, sedermera hovurmakare",Yrke,{'comment': '1830-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1082,VivecaLindfors,Författare,Dramatiker,Yrke,{'comment': '1970-talet'},
1083,AstridLindgren,Redaktör,"Förlagsredaktör, Rabén &amp; Sjögren Bokförlag AB",Yrke,"{'comment': '1946', 'date': '1946'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1084,MaritaLindgrenFridell,Chef,"Chef, Riksutställningars skolavdelning",Yrke,"{'comment': '1967', 'date': '1967'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1085,KlaraLindh,Redaktör,"Redaktör, skribent, distributör, artikelserie i Gefle Dagblad m fl tidningar",Ideellt arbete,"{'comment': '1909', 'date': '1909'}","{'pin': {'lat': 60.67488, 'lon': 17.141273}, 'place': 'Gävle'}"
1086,AnnaLindh,Minister,"Miljöminister 1994–1998, utrikesminister 1998–2003",Yrke,"{'comment': '1994', 'date': '1994'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1087,AnnaLindhagen,Föreståndare,"Föreståndare, Barnavårdsnämndens utackorderingsavdelning",Yrke,"{'comment': '1929', 'date': '1929'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1088,UlrikaLindholm,Sångare,Vissångare,Yrke,{'comment': '1940-talet'},
1089,EsterLindin,Författare,,Yrke,,"{'pin': {'lat': '58.587745', 'lon': '16.192421'}, 'place': 'Norrköping'}"
1090,MaryMajLindman,Föreståndare,"Föreståndare, Nordiska Bokhandelns Konsthall",Yrke,"{'comment': '1918', 'date': '1918'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1091,CharlotteLindmark,Skådespelare,"Skådespelare, Djurgårdsteatern 1839–1842, Fredrik Delands resande teatersällskap 1843–1845, Olof Ulrik Torsslows sällskap, Mindre teatern 1845–1858",Yrke,"{'comment': '1829', 'date': '1829'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1092,HannaLindmark,Företagare,"Företagare, Margaretaskolan",Yrke,"{'comment': '1905', 'date': '1905'}",
1093,IngerGunvorLindquist,Utredare,"Utredare, prostitutionsutredningen",Yrke,"{'comment': '1977', 'date': '1977'}",
1094,EbbaLindqvist,Programledare,"Programledare, Sveriges Radio",Yrke,"{'comment': '1954', 'date': '1954'}","{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
1095,MartaLindqvist,Författare,Författare,Yrke,"{'comment': '1924', 'date': '1924'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1096,HildaSofiaLindstedt,Bibliotekarie,"Tillförordnad bibliotekarie, fr o m 1930 bibliotekarie och chef, 1946 tillförordnad överbibliotekarie, Kungliga Tekniska högskolans bibliotek",Yrke,"{'comment': '1914', 'date': '1914'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1097,MarianneLindsten,Läkare,"Provinsialläkare, 1946–1955 Vilhelmina, 1955–1972 Lycksele",Yrke,"{'comment': '1946', 'date': '1946'}",
1098,TuijaLydiaElisabethLindstrom,Professor,"Professor i fotografi, Högskolan för fotografi och film, Göteborgs universitet",Yrke,"{'comment': '1992', 'date': '1992'}","{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
1099,UllaLindstrom,Diplomat,FN-delegat,Yrke,"{'comment': '1954', 'date': '1954'}","{'pin': {'lat': '40.712784', 'lon': '-74.005941'}, 'place': 'New York, USA'}"
1100,BirgitLindvall,Företagare,Drev egen parfymhandel,Yrke,"{'comment': '1959', 'date': '1959'}","{'pin': {'lat': 55.70466, 'lon': 13.191007}, 'place': 'Lund'}"
1101,IngridLingmark,Rättsläkare,"Rättsläkare, föreståndare, Statens rättsläkarstation i Umeå",Yrke,"{'comment': '1966', 'date': '1966'}","{'pin': {'lat': 63.825847, 'lon': 20.263035}, 'place': 'Umeå'}"
1102,ElisabethChristinavonLinne,Botaniker,Botaniker,Yrke,{'comment': '1760-talet'},"{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
1103,SaraLisavonLinne,Lantbrukare,"Husmor, lanthushållare, sedermera lantbrukare",Yrke,"{'comment': '1741', 'date': '1741'}",
1104,LydiaLithell,Musiker,"Organist, församlingsmusiker",Yrke,"{'comment': '1931', 'date': '1931'}","{'pin': {'lat': 59.124444, 'lon': 15.145833}, 'place': 'Kumla'}"
1105,HelenaLjungberg,Stadsrevisor,"Stadsrevisor, revisor i Umeå nya spritbolag",Yrke,,"{'pin': {'lat': 63.825847, 'lon': 20.263035}, 'place': 'Umeå'}"
1106,EbbaLjunggren,"Styrelseledamot, ordförande","Suppleant, fr o m 1954 vice ordförande, AB Pressresor",Ideellt arbete,"{'comment': '1951', 'date': '1951'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
1107,StinaLjunggren,Sakkunnig,"Ledamot, Idrottens forskningsråd (IFR, nuvarande Centrum för idrottsforskning, CIF)",Ideellt arbete,,
1108,AuroraLjungstedt,Författare,,Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1109,AstridLjungstrom,Journalist,"Journalist, frilans, Antik &amp; Auktion",Yrke,"{'comment': '1970', 'date': '1970'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1110,DagmarGurliElisabetLoden,Konstnärlig ledare,"Konstnärlig ledare, Alice Lunds Textilier AB",Yrke,"{'comment': '1969', 'date': '1969'}","{'pin': {'lat': 60.484304, 'lon': 15.4339689}, 'place': 'Borlänge'}"
1111,JohannaLohm,Lärare,"Lärare, drev halvpension för elever",Yrke,"{'comment': '1810', 'date': '1810'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1112,StellaMartinaHenriettaLohmander,Museitjänsteman,"Ansvarig, Markfaunainventeringen, Göteborgs naturhistoriska museum",Yrke,{'comment': '1960-talet'},"{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
1113,MajLorents,Journalist,"Journalist, Svenska Dagbladet",Yrke,"{'comment': '1940', 'date': '1940'}",
1114,IdunLoven,Skolledare,"Lärare, föreståndare, Konstskolan Idun Lovén",Yrke,"{'comment': '1957', 'date': '1957'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1115,KristinaLugn,Konstnärlig ledare,"Konstnärlig ledare, Teater Brunnsgatan 4",Yrke,"{'comment': '1997', 'date': '1997'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1116,EmelieLundahl,Sekreterare,"Expeditionssekreterare, Evangeliska Fosterlands-Stiftelsen",Yrke,"{'comment': '1895', 'date': '1895'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1117,EmelieEmilieMathildaLundberg,Författare,"Författare, dramatiker",Yrke,"{'comment': '1877', 'date': '1877'}",
1118,EmmaLundberg,Författare,"Författare och illustratör, böcker om trädgårdsarkitektur",Yrke,"{'comment': '1932', 'date': '1932'}","{'pin': {'lat': '59.36296', 'lon': '18.1468'}, 'place': 'Lidingö'}"
1119,HildurLundberg,Lärare,"Föreläsare, Skolöverstyrelsens biblioteksskola",Yrke,"{'comment': '1926', 'date': '1926'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1120,MathildaLundberg,Styrelseledamot,"Styrelseledamot, Rosenlunds ålderdomshem",Ideellt arbete,{'comment': ''},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1121,WillyMariaLundberg,Konsumentupplysare,"Konsumentupplysare, föreståndare Träslottet",Yrke,"{'comment': '1964', 'date': '1964'}","{'pin': {'lat': '61.470269', 'lon': '16.379324'}, 'place': 'Arbrå'}"
1122,JaneLundblad,Översättare,Översättare,Yrke,"{'comment': '1948', 'date': '1948'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1123,BrittIngridMargaretaLundbohmReutersvard,Konstnär,Konstnär,Yrke,"{'comment': '1956', 'date': '1956'}",
1124,MajaLundback,Styrelseledamot,"Styrelseledamot, Tekniska skolan",Ideellt arbete,"{'comment': '1944', 'date': '1944'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1125,MariaLundback,Fotograf,"Fotograf, Josefina Rydholms fotografiska ateljé, fr o m 1883 Maria Lundbäck fotografiatelier",Yrke,"{'comment': '1880', 'date': '1880'}","{'pin': {'lat': '58.3498', 'lon': '11.935649'}, 'place': 'Uddevalla'}"
1126,AmaliaLundeberg,Översättare,,Yrke,,
1127,GerdaCarolaCeciliaLundequist,Föreläsare,"Föreläsare, föredragshållare, Kvinnliga medborgarskolan vid Fogelstad",Yrke,,"{'pin': {'lat': 59.151918, 'lon': 16.092045}, 'place': 'Julita'}"
1128,TyraCarolinaLundgren,Skribent,"Konstkritiker, kulturskribent, författare",Yrke,"{'comment': '1934', 'date': '1934'}",
1129,ValborgLundgren,Ledamot,"Ledamot, Anstaltsnämnden för Långholmen",Ideellt arbete,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1130,AugustaLundin,Företagare,"Företagare, Augusta Lundin AB",Yrke,"{'comment': '1867', 'date': '1867'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1131,IngeborgLundin,Formgivare,"Formgivare, Målerås glasbruk",Yrke,"{'comment': '1990', 'date': '1990'}","{'pin': {'lat': 56.91468, 'lon': 15.5694877}, 'place': 'Målerås'}"
1132,HuldaLundin,Inspektör,Slöjdinspektör,Yrke,"{'comment': '1885', 'date': '1885'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1133,MimmiLundstromBorjesson,Textilkonstnär,"Textilkonstnär, medgrundare, Licium",Yrke,"{'comment': '1904', 'date': '1904'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1134,IngridLuterkort,Universitetslektor,"Lektor, teatervetenskap, Stockholms universitet",Yrke,"{'comment': '1970', 'date': '1970'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1135,AnnaLutteman,Kommittéledamot,"Ledamot, Socialstyrelsens rådgivande nämnd för social hemhjälp",Yrke,"{'comment': '1944', 'date': '1944'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1136,EsterLutteman,Sakkunnig,"Sakkunnig, kvinnoprästutredningen",Yrke,"{'comment': '1946', 'date': '1946'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1137,BritaHildaLovisaUlrikaLuningMalmstedt,Skolgrundare,"Grundare, föreståndare, lärare, Lidingö flickpension",Yrke,"{'comment': '1927', 'date': '1927'}","{'pin': {'lat': 59.36296, 'lon': 18.1468}, 'place': 'Lidingö'}"
1138,ThrinaLysell,Lärare,"Lärare, t o m 1830 skolföreståndare, Fruntimmersföreningens flickskola",Yrke,"{'comment': '1815', 'date': '1815'}","{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
1139,AliceLyttkens,Författare,,Yrke,,
1140,SonjaLyttkens,Konstnär,Konstnär,Yrke,,
1141,FredricaLof,Styrelseledamot,"Styrelseledamot, Kungliga Dramatiska Teatern",Yrke,"{'comment': '1788', 'date': '1788'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1142,AnnaLenaLofgren,Sångare,"Sångare i Sverige, Tyskland och Norge",Yrke,"{'comment': '1960', 'date': '1960'}",
1143,MarianneLofgren,Skådespelare,"Skådespelare, teater, film och revy, bl a Oscarsteatern, Vasateatern, Konserthusteatern, Folkteatern, Dramaten, Malmö Stadsteater",Yrke,"{'comment': '1929', 'date': '1929'}",
1144,EllenAnnaSofiaLofmarck,Litteraturkritiker,"Litteraturkritiker, skribent",Yrke,"{'comment': '1950', 'date': '1950'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
1145,HelfridLofquist,Skribent,Skribent,Yrke,{'comment': '1920-talet'},
1146,EllyBertaIsabellaLofstrand,Gymnastikdirektör,"Gymnastikledare, husmodersgymnastik, Kooperativa Förbundet",Yrke,"{'comment': '1944', 'date': '1944'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1147,IngaLowdin,Forskare,"Idrottshistoriker, skribent",Ideellt arbete,{'comment': '1980-talet'},"{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
1148,EvaLowen,Politisk verksamhet,Politisk spion/lobbyist med pension från franska staten,Yrke,{'comment': '1760-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1149,HarrietLowenhjelm,Författare,,Yrke,"{'comment': '1913', 'date': '1913'}",
1150,EmmaLowstadtChadwick,Konstnär,Konstnär,Yrke,{'comment': '1870-talet'},
1151,AgnesMagnell,Arkitekt,"Arkitekt, Vattenbyggnadsbyrån",Yrke,"{'comment': '1900', 'date': '1900'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1152,BirgitMariaMagnusson,Programledare,"Cafévärd lokal TV7, Programledare Radio Sjuhärad",Yrke,"{'comment': '1993', 'date': '1993'}","{'pin': {'lat': 57.721035, 'lon': 12.939819}, 'place': 'Borås'}"
1153,GretaMagnussonGrossman,Lärare,"Lärare, Furniture Design, UCLA",Yrke,"{'comment': '1957', 'date': '1957'}","{'pin': {'lat': 34.052234, 'lon': -118.400356}, 'place': 'Los Angeles, USA'}"
1154,AmandaMaierRontgen,Kompositör,"Kompositör, i Sverige, Tyskland och Nederländerna",Yrke,{'comment': '1860-talet'},
1155,MazahrMakatemele,Husligt arbete,"Piga, Rostads folkskoleseminarium",Yrke,{'comment': 'Ca 1864'},"{'pin': {'lat': 56.663445, 'lon': 16.356779}, 'place': 'Kalmar'}"
1156,HelenaMalheim,Lärare,"Lärare, privat utbildning av allmogekvinnor i förlossningskonst",Ideellt arbete,"{'comment': '1757', 'date': '1757'}","{'pin': {'lat': '58.379728', 'lon': '12.324803'}, 'place': 'Vänersborg'}"
1157,MathildaMalling,Författare,Författare,Yrke,,"{'pin': {'lat': '55.676097', 'lon': '12.568337'}, 'place': 'Köpenhamn, Danmark'}"
1158,BritaMalmer,Redaktör,"Redaktör, Commentationes de nummis saeculorum IX-XI in Suecia repertis",Yrke,"{'comment': '1987', 'date': '1987'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1159,CarinMalmlofForssling,Lärare,"Musikpedagog, Kommunala musikskolan 1952–?, gymnasieskola 1972–1981",Yrke,"{'comment': '1952', 'date': '1952'}","{'pin': {'lat': 60.60646, 'lon': 15.6355}, 'place': 'Falun'}"
1160,EliseMalmros,Socialt och filantropiskt arbete,Filantropiskt arbete,Ideellt arbete,,"{'pin': {'lat': 55.870348, 'lon': 12.83008}, 'place': 'Landskrona'}"
1161,BodilMalmsten,"Författare, dramatiker, poet, kulturskribent, bloggare",,Yrke,"{'comment': '1970', 'date': '1970'}",
1162,HedvigMalmstrom,Sjukgymnast,"Sjukgymnast, privat praktik",Yrke,"{'comment': '1920', 'date': '1920'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1163,RosaMalmstrom,Bibliotekarie,"Bibliotekarie, Göteborgs stadsbibliotek, Göteborgs universitetsbibliotek",Yrke,"{'comment': '1938', 'date': '1938'}","{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
1164,ChristineMalmstromBarke,Kommittéledamot,Kommittéledamot i Beredningen för det fortsatta arbetet om kvinnan i försvaret,Yrke,"{'comment': '1975', 'date': '1975'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1165,IngridOrtrudMann,Musiklärare,"Musiklärare, bl a Latinskolan i Malmö",Yrke,"{'comment': '1975', 'date': '1975'}","{'pin': {'lat': 55.604981, 'lon': 13.003822}, 'place': 'Malmö'}"
1166,LillemorIngeborgAinaSophieConstanceMannerheim,Formgivare,"Formgivare, keramiker, frilans, för bl a Hovmantorps glasbruk, Rörstrands porslinsfabrik och Nässjö Solfabrik",Yrke,,"{'pin': {'lat': 58.9251369, 'lon': 11.6525417}, 'place': 'Kinnekulle'}"
1167,CarinMannheimer,Regissör,"Regissör, 1979–1982 chef för teateravdelningen vid SVT",Yrke,"{'comment': '1979', 'date': '1979'}","{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
1168,CharlotteMannheimer,Gallerist,"Gallerist, Ny konst",Yrke,"{'comment': '1918', 'date': '1918'}","{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
1169,MargitManstad,Skådespelare,Skådespelare,Yrke,"{'comment': '1925', 'date': '1925'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1170,GerdaMarcus,Journalist,"Utrikeskorrespondent, Wien och Berlin, för Svenska Dagbladet, Dagens Nyheter m fl",Yrke,"{'comment': '1920', 'date': '1920'}",
1171,ElsaBritaMarcussen,"Styrelseledamot, ordförande","Ledare, Statens Filmopplæring",Ideellt arbete,"{'comment': '1982', 'date': '1982'}","{'pin': {'lat': 59.913869, 'lon': 10.752245}, 'place': 'Oslo, Norge'}"
1172,LauraMarholm,Författare,"Författare, essäist",Yrke,"{'comment': '1879', 'date': '1879'}",
1173,EdnaMartin,Konstnärlig ledare,"VD, konstnärlig ledare, Handarbetets Vänner",Yrke,"{'comment': '1951', 'date': '1951'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1174,MoaMartinson,Författare,"Författare, föreläsare, skribent, samhällsdebattör",Yrke,"{'comment': '1924', 'date': '1924'}","{'pin': {'lat': '59.007777', 'lon': '17.805728'}, 'place': 'Sorunda'}"
1175,MariaMagdalenaMathsdotter,Skolgrundare,"Engagerad i grundandet av skolor och barnhem för samiska barn, bl a genom Femöresföreningen",Ideellt arbete,"{'comment': '1864', 'date': '1864'}",
1176,IdaElisabethMatton,"Skulptör, konstnär","Konstnär, skulptör, konsthantverkare",Yrke,"{'comment': '1887', 'date': '1887'}","{'pin': {'lat': 48.856614, 'lon': 2.352222}, 'place': 'Paris, Frankrike'}"
1177,LisaMattson,Riksdagsledamot,,Yrke,"{'comment': '1959', 'date': '1959'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1178,IreneMattsson,Redaktör,Bildredaktör,Yrke,{'comment': '1970-talet'},
1179,EmmaMeissner,"Sångare, skådespelare","Skådespelare, operettsångare",Yrke,"{'comment': '1882', 'date': '1882'}",
1180,EliseLiseMeitner,Forskare,"Professor, fysik, Kungliga Tekniska högskolan (KTH)",Yrke,"{'comment': '1947', 'date': '1947'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1181,KaisaBritaMelanton,Konstnärlig ledare,"Konstnärlig rådgivare, Handarbetets Vänner",Yrke,"{'comment': '1979', 'date': '1979'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1182,UlrikaMelin0,Textilkonstnär,"Textilkonstnär, brodör",Yrke,{'comment': '1780-talet'},
1183,KerstinMargaretaMeyer,Rektor,"Rektor, Operahögskolan",Yrke,"{'comment': '1984', 'date': '1984'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1184,SiriLisenMeyer,Konstnär,"Scenograf, dekormålare",Yrke,"{'comment': '1940', 'date': '1940'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
1185,GerdaMeyerson,Socialt och filantropiskt arbete,"Socialt och filantropiskt arbete, bl a på Birkagården, hemgård, styrelseledamot i Birkagårdens Kindergarten",Ideellt arbete,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1186,LouiseMichaeli,Sångare,"Operasångare, Her Majestys Theater",Yrke,"{'comment': '1859', 'date': '1859'}","{'pin': {'lat': 51.507351, 'lon': -0.127758}, 'place': 'London, Storbritannien'}"
1187,AnnaEsterMiddelsten,Kommun- och landstingspolitiker,"Styrelseledamot, arbetsutskottsmedlem, Västerbottens södra valkretsförbund",Ideellt arbete,,"{'pin': {'lat': 63.825847, 'lon': 20.263035}, 'place': 'Umeå'}"
1188,BaptistaAlfonsineMariaMijaresSchreiber,Cirkusdirektör,"Cirkusdirektör, Cirkus Mijares-Schreiber, kringresande (fr o m 1929 övervintrande i Karlskoga)",Yrke,"{'comment': '1927', 'date': '1927'}",
1189,GerdMiller,Illustratör,"Illustratör, modetecknare, mönsterkonstruktör, serietecknare",Yrke,"{'comment': '1944', 'date': '1944'}","{'pin': {'lat': '40.712784', 'lon': '-74.005941'}, 'place': 'New York, USA'}"
1190,WinifredCarolineDianaMiller,Nattklubbsägare,"Nattklubbsägare, Blue Note",Yrke,"{'comment': '1964', 'date': '1964'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1191,OlgaMilles,Konstnär,Delaktig i Millesgårdens om- och tillbyggnad,Yrke,"{'comment': '1920', 'date': '1920'}","{'pin': {'lat': 59.36296, 'lon': 18.1468}, 'place': 'Lidingö'}"
1192,RuthMilles,"Författare, illustratör",,Yrke,"{'comment': '1918', 'date': '1918'}",
1193,EllenMoberg,Föreståndare,"Föreståndare, Sveriges barnträdgårdslärarinnors riksförbunds förmedlingsbyrå",Ideellt arbete,"{'comment': '1940', 'date': '1940'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1194,EvaMoberg,Kolumnist,Kolumnist *Dagens Nyheter*,Yrke,"{'comment': '1976', 'date': '1976'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1195,MariaMoberg,Verksamhetsgrundare,"Medgrundare, Sveriges barnträdgårdslärarinnors riksförbunds förmedlingsbyrå",Ideellt arbete,"{'comment': '1940', 'date': '1940'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1196,KarinMobring,Formgivare,"Möbelformgivare, IKEA",Yrke,"{'comment': '1964', 'date': '1964'}","{'pin': {'lat': 56.552446, 'lon': 14.137405}, 'place': 'Älmhult'}"
1197,MariaKristinaStinaModig,Kyrklig verksamhet,"Styrelseledamot, Norrmalms Baptistförsamlings sociala råd",Ideellt arbete,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1198,BrittMogard,Landshövding,"Landshövding, Kronobergs län",Yrke,"{'comment': '1983', 'date': '1983'}","{'pin': {'lat': 56.879004, 'lon': 14.805852}, 'place': 'Växjö'}"
1199,GretaMolander,Hotell- och restaurangarbete,"Föreståndare, hälsohem",Yrke,,"{'pin': {'lat': 59.13, 'lon': 10.2256}, 'place': 'Sandefjord, Norge'}"
1200,KatarinaKarinMargaretaElisabethMolander,Skådespelare,"Skådespelare, bl a Lorensbergsteatern 1920—1922, Dramaten 1922—1925, 1931—1937, Vasateatern, Östermalmsteatern m fl",Yrke,"{'comment': '1907', 'date': '1907'}",
1201,AnnaMolin,Bibliotekarie,"Bibliotekarie, Göteborgs stadsbibliotek (nuvarande Göteborgs universitetsbibliotek)",Yrke,{'comment': 'Ca 1920'},"{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
1202,UllaMolin,Trädgårdsarkitekt,"Grundare, föreståndare, inspirationsverkstaden Gröna Gården",Yrke,"{'comment': '1967', 'date': '1967'}","{'pin': {'lat': '56.046467', 'lon': '12.6945121'}, 'place': 'Helsingborg'}"
1203,AnnaMargaretavonBragner,Tidskriftsredaktör,"Tidskriftsredaktör, Stockholm. Gazette",Yrke,{'comment': '1740-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1204,AgdaMontelius,Utredare,"Utredare, organisatör, Svenska fattigvårdsförbundet (SFF), sektionen för Barnavård",Yrke,"{'comment': '1907', 'date': '1907'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1205,EbbaJeanetteMorman,Skådespelare,"Skådespelare, Dramaten",Yrke,"{'comment': '1791', 'date': '1791'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1206,EditaMorris,Politisk verksamhet,"Olika former av fredsarbete och -aktivism, bl a grundare, vilohem för atombombens offer i Hiroshima",Ideellt arbete,{'comment': '1940-talet'},
1207,HelenaMunktell,Kompositör,Kompositör,Yrke,"{'comment': '1880', 'date': '1880'}",
1208,UllaMurman,Företagare,"Grundare och föreståndare, Stockholms Stenografservice",Yrke,"{'comment': '1953', 'date': '1953'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1209,CarolinaFrederikkeMuller,Lärare,"Instruktör, scenisk framställning och deklamation, Kungliga Teatern (nuvarande Kungliga Operan)",Yrke,"{'comment': '1812', 'date': '1812'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1210,AnnaMyrberg,Sångare,"Sångare, recitatör, Nya teatern, Klara Folkets hus m fl",Yrke,{'comment': '1920-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1211,BarbroGunillaMyrberg,Styrelseledamot,"Styrelseledamot, Stockholms sjukhem",Ideellt arbete,"{'comment': '1998', 'date': '1998'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1212,AlvaMyrdal,Forskare,"Visiting fellow, Center for the Study of Democratic Institutions",Yrke,"{'comment': '1973', 'date': '1973'}","{'pin': {'lat': 34.4221, 'lon': -119.70299999999997}, 'place': 'Santa Barbara, USA'}"
1213,AnnaMansdotter,Lantbrukare,,Yrke,,"{'pin': {'lat': '55.8811992', 'lon': '14.2281927'}, 'place': 'Yngsjö'}"
1214,ValborgMansdotterFrisk0,Lantbrukare,Fårbonde,Yrke,,
1215,EbbaMansdotterLilliehook0,Godsägare,Godsägare,Yrke,"{'comment': '1568', 'date': '1568'}",
1216,GertrudMansson,Kommun- och landstingspolitiker,"Ledamot, Stockholms stadsfullmäktige",Ideellt arbete,"{'comment': '1910-1915, 1919-1931'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1217,BeataMartenssonBrummer0,Konservator,"Konservator, utställningsarrangör",Yrke,"{'comment': '1921', 'date': '1921'}","{'pin': {'lat': 40.712784, 'lon': -74.005941}, 'place': 'New York, USA'}"
